OnsetTime	OffsetTime	MidiPitch
0.500004	3.70955	62
0.500004	1.05046	71
0.500004	3.70955	59
1.05046	1.84041	69
1.05046	1.84041	57
1.84041	2.09465	67
1.84041	2.09465	55
2.09465	2.66608	66
2.09465	2.66608	54
2.66608	3.70955	66
2.66608	3.70955	54
3.70955	6.91045	62
3.70955	4.04662	71
3.70955	6.91045	59
4.04662	4.15941	69
4.15941	4.2722	71
4.2722	5.05111	69
4.2722	5.05111	57
5.05111	5.29904	67
5.05111	5.29904	55
5.29904	5.87596	66
5.29904	5.87596	54
5.87596	6.91045	66
5.87596	6.91045	54
6.91045	7.47594	62
6.91045	7.47594	47
7.17593	7.47594	64
7.17593	7.47594	49
7.47594	9.11631	59
7.47594	9.07935	66
7.47594	9.11631	50
8.52889	10.7134	42
9.07935	9.86197	58
9.07935	9.86197	66
9.07935	9.86197	52
9.86197	10.1347	61
9.86197	10.1347	70
9.86197	10.1347	54
10.1347	10.6931	64
10.1347	10.6931	73
10.1347	10.6931	55
10.4074	10.7134	66
10.4074	10.7134	74
10.6931	11.2742	64
10.6931	11.2742	73
10.6931	13.2707	47
10.6931	11.2742	55
11.2337	13.2707	62
11.2337	13.2707	71
11.2337	13.2707	54
11.8101	13.2707	42
12.4842	13.2707	35
13.8325	17.0089	66
13.8325	14.3498	74
13.8325	17.0089	62
14.3498	15.1397	73
14.3498	15.1397	61
15.1397	15.394	71
15.1397	15.394	59
15.394	15.9654	69
15.394	15.9654	57
15.9654	17.0089	69
15.9654	17.0089	57
17.0089	20.2098	66
17.0089	17.346	74
17.0089	20.2098	62
17.346	17.4587	73
17.4587	17.5715	74
17.5715	18.3504	73
17.5715	18.3504	61
18.3504	18.5984	71
18.3504	18.5984	59
18.5984	19.1753	69
18.5984	19.1753	57
19.1753	20.2098	69
19.1753	20.2098	57
20.2098	20.7753	66
20.2098	20.7753	50
20.4753	20.7753	67
20.4753	20.7753	52
20.7753	22.4156	62
20.7753	22.3787	69
20.7753	22.4156	54
21.8282	24.0127	45
22.3787	23.1613	61
22.3787	23.1613	69
22.3787	23.1613	55
23.1613	23.434	64
23.1613	23.434	73
23.1613	23.434	57
23.434	23.9925	67
23.434	23.9925	76
23.434	23.9925	59
23.7067	24.0127	69
23.7067	24.0127	78
23.9925	24.5735	67
23.9925	24.5735	76
23.9925	26.7651	50
23.9925	24.5735	59
24.533	26.7651	66
24.533	26.7651	74
24.533	26.7651	57
25.1094	26.7651	45
25.7836	26.7651	38
27.0467	27.5777	78
27.0467	27.5777	66
27.5777	29.1744	67
27.5777	29.1744	70
27.5777	28.3741	76
27.5777	28.3741	64
28.3741	28.6328	74
28.3741	28.6328	62
28.6328	29.1744	73
28.6328	29.1744	61
29.1744	30.8029	65
29.1744	30.8029	68
29.1744	30.234	74
29.1744	30.234	62
29.9709	30.8029	71
29.9709	30.8029	59
30.234	30.8029	74
30.234	30.8029	62
30.7913	33.7581	66
30.7913	33.7581	70
30.7913	33.7581	73
30.7913	33.7581	61
31.9024	33.7581	49
32.5209	33.7581	42
33.7581	34.289	78
33.7581	34.289	66
34.289	35.8857	67
34.289	35.8857	70
34.289	35.0855	77
34.289	35.0855	65
35.0855	35.3441	76
35.0855	35.3441	64
35.3441	35.6027	74
35.3441	35.6027	62
35.6027	35.8857	73
35.6027	35.8857	61
35.8857	37.5142	65
35.8857	37.5142	68
35.8857	37.5142	76
35.8857	37.5142	64
36.6822	37.2085	74
36.6822	37.2085	62
36.9453	37.5142	71
36.9453	37.5142	59
37.2085	37.5142	74
37.2085	37.5142	62
37.5026	40.3644	66
37.5026	40.3644	70
37.5026	40.3644	73
37.5026	40.3644	61
38.6137	40.3644	49
